ID-Lattes	Título	Ano	Tipo	Natureza	Volumes	Páginas	ISBN	Edição	Série	Editora	Palavras-chave	
5322636314530267	Déchets. Estigmatisations, commerce, politiques. Garbage. Stimatisations, comerce, politics. Fatra. Stigmatizasyon, Komès, polItik ? Lixo. Estigmatizações, Comércios, Políticas. Porto Príncipe, Haiti	2010	LIVRO_PUBLICADO	NAO_INFORMADO	1	132	9788561882044	1		Viva Rio - NuCEC	['Haiti', 'comercio', 'desigualdade', 'lixo']
5322636314530267	Conversas Etnográficas Haitianas	2019	LIVRO_ORGANIZADO_OU_EDICAO	NAO_INFORMADO	1	357	9789592989125	1		Papeis Selvagens	[]
5322636314530267	A Cultural History of Money. The Age of Empire (1820 ? 1920)	2018	LIVRO_ORGANIZADO_OU_EDICAO	NAO_INFORMADO	1	354	9781474237390	1		Bloomsbury.	['economia', 'dinheiro', 'Impérios', 'Estados Nacionais', 'Século XIX']
5322636314530267	Brasil en Perspectiva	2010	LIVRO_ORGANIZADO_OU_EDICAO	NAO_INFORMADO	1	119	9788575776834	1	1	7Letras	['Antropologia', 'Brasil', 'Comparação']
5736078976141563	Database Marketing: uma estratégia não visível para sua maior adaptação em mercados competitivos	1997	LIVRO_PUBLICADO	TEXTO_INTEGRAL		113		1		UFMG	['Marketing um a um', 'Sistema de informação de Marketing', 'Database marketing']
5736078976141563	Administração Estratégica - Múltiplos enfoques para o sucesso empresarial	2001	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	317	859017582	1		FUMARC	['Administração estratégica']
5736078976141563	Marketing de Relacionamento Data base Marketing: uma estratégia para adaptação em mercados competitivos	2002	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	329	8573231793	1		Axcel	[]
5736078976141563	Projetos e Relatórios de Pesquisa em Administração	2004	LIVRO_PUBLICADO	OUTRA	1	199	8522438463	1		Atlas	['Metodologia de pesquisa', 'pesquisa em administração']
5736078976141563	Estratégia Empresarial ? o desafio das organizações: como harmonizar a obtenção de resultados entre as pessoas e o meio ambiente	2006	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	232	8502057243	1		Saraiva	['Planejamento estratégico', 'Planejamento empresarial', 'Administração de empresas', 'Comportamento organizacional']
5736078976141563	Manual de Ferramentas de Estratégia Empresarial	2008	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	323	9788522451449	1	1	Atlas	['Administração de empresas', 'Planejamento empresarial', 'Planejamento estratégico']
5736078976141563	Observatório de Custos em Saúde	2012	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	235	9788565094009	0		Vera Sátiro	[]
5736078976141563	Desafios da Gestão Estratégica em serviços de saúde	2012	LIVRO_PUBLICADO	COLETANEA	1	221	9788535262787	1	127489	Elsevier Editora Ltda	[]
5736078976141563	Desafios da Gestão Estratégica em serviços de saúde	2012	LIVRO_ORGANIZADO_OU_EDICAO	NAO_INFORMADO	1	221	85-352-6378-0	1	1	Elsevier	['Planejamento empresarial', 'Serviços em Saúde', 'Administração de empresas', 'Administração estratégica']
5736078976141563	Livro: III Seminário Nacional Do Observatório De Custos Em Saúde:: Cadeia Produtiva, Biotecnológia e Inovação na Perspectiva do Sistema Único de Saúde	2014	LIVRO_PUBLICADO	OUTRA	1	237	9788565094009	1	3	Autêntica Editora	[]
5736078976141563	Livro: II Seminário Nacional Do Observatório De Custos Em Saúde	2013	LIVRO_PUBLICADO	OUTRA	1	255	9788565094009	2	2	Autêntica Editora	[]
