ID-Lattes	Título	Ano	DOI	Veículo	ISSN	Volume	Fascículo	Serie	P-inicial	P-final	Palavras-chave	Autores	Quantidade-autores
1920255833804512	Poder Legislativo e política externa: um estudo sobre a influência do Congresso Nacional do Chile na formulação da política comercial durante a década de 1990	2008	10.1590/S0102-85292008000100003	Contexto Internacional (PUCRJ. Impresso)	01028529	30		1	89	139	[]	PINHEIRO, Flávio Leão	1
1920255833804512	As políticas do gás natural dos governos de Morales e Bachelet	2006		Observador on-line	18097588	1		1	01	14	[]	PINHEIRO, Flávio Leão; ALEXANDRE, C. V. M.; ACSELRAD, V.	3
1920255833804512	A Ponderação de Princípios e o Novo Paradigma do Dirieto	2002		Direito, Estado e Sociedade	15166104	21			126	158	[]	PINHEIRO, Flávio Leão	1
1920255833804512	Incorporação da Venezuela ao Mercosul: razões para o impasse no Legislativo brasileiro	2009		Observador on-line	18097588	4			3		[]	PINHEIRO, Flávio Leão	1
1920255833804512	Nota sobre indicadores: aprovação dos presidentes sul-americanos	2009		Boletim OPSA	18098827	5			21	24	[]	PINHEIRO, Flávio Leão	1
1920255833804512	Efeitos da crise financeira internacional e o atual ciclo eleitoral na América do Sul	2009		Observador on-line	18097588	4		11	1	15	[]	PINHEIRO, Flávio Leão	1
1920255833804512	Presidents, Legislators, and Foreign Policy in Latin America	2016	10.1590/S0102-8529.2016380100013	Contexto Internacional (on-line)	19820240	38		1	467	501	[]	RIBEIRO, PEDRO FELIÚ; PINHEIRO, FLÁVIO	2
1920255833804512	Book Reveiw: The Politics of Market Discipline in Latin America: Globalization and Democracy	2016	10.1590/1981-382120160003000012	Brazilian Political Science Review	19813821	10		3	1/0012	5	[]	PINHEIRO, FLÁVIO	1
1920255833804512	Certezas e Incertezas eleitorais no Chile	2009		Boletim OPSA	18098827	4			15	20	[]	PINHEIRO, Flávio Leão	1
2142163449017349	Humanização e Arquitetura	1989		Projeto (São Paulo)	01011766	126			129	132	['metodologia de projeto']	KOWALTOWSKI, D. C. C. K.	1
2142163449017349	Aesthetics and Self-Built Houses: an Analysis of a Brazilian Setting	1998	10.1016/S0197-3975(98)00005-8	Habitat International	01973975	22	3		299	312	['auto-construção', 'estética']	KOWALTOWSKI, D; KOWALTOWSKI, D. C. C. K.	2
2142163449017349	Bioclimatic and vernacular design in urban settlements of Brazil	1998	10.1016/S0360-1323(97)00024-3	Building and Environment	03601323	33	1		63	77	['metodologia de projeto']	LABAKI, L; KOWALTOWSKI, D. C. C. K.	2
2142163449017349	The Missing Attributes of the New Vernacular: a Brazilian Example	1996		TRADITIONAL DWELLINGS AND SETTLEMENTS REVIEW	10502092	99			1	33	['Conforto Ambiental', 'auto-construção', 'habitação', 'Arquitetura Vernacular', 'Tradição']	KOWALTOWSKI, D. C. C. K.; LABAKI, Lucila C	2
2142163449017349	Ensino do Projeto Arquitetônico: A Teoria Traduzida em Exercícios no Ensino do Projeto Arquitetônico	2001	10.1590/S0370-44672001000100009	Revista da Escola de Minas	03704467	54			1	6	['Ensino de Projeto Arquitetônico', 'Processo Criativo']	KOWALTOWSKI, D. C. C. K.; FÁVERO, Edison; BORGES FILHO, Francisco; GOUVEIA, A. P.; RUSCHEL, Regina C; PINA, Sílvia A Mikami G; GOMEZ, Vanessa da Silva	7
2142163449017349	Teaching Children About Aspects of Comfort in the Built Environment	2004	10.3200/JOEE.36.1.19-31	JOURNAL OF ENVIRONMENTAL EDUCATION	00958964	36	2004		19	31	['Consciência ambiental', 'Ensino de Conforto Ambiental', 'Conforto Ambiental']	Kowaltowski, Doris; Filho, Francisco; Labaki, Lucila; Pina, Silvia; BERNARDI, Núbia; KOWALTOWSKI, D. C. C. K.	6
